date,max_temperature,precipitation,snow_depth,dow,weekday,trips
2017-04-14T00:00:00Z,66,0,0,5,TRUE,43294
2017-04-15T00:00:00Z,65,0,0,6,FALSE,31739
2017-04-16T00:00:00Z,87,0,0,0,FALSE,32867
2017-04-17T00:00:00Z,74,0,0,1,TRUE,46800
2017-04-18T00:00:00Z,65,0,0,2,TRUE,48691
2017-04-19T00:00:00Z,54,0,0,3,TRUE,43388
2017-04-20T00:00:00Z,66,0.17,0,4,TRUE,41347
2017-04-21T00:00:00Z,53,0.29,0,5,TRUE,37242
2017-04-22T00:00:00Z,57,0.11,0,6,FALSE,31488
2017-04-23T00:00:00Z,66,0,0,0,FALSE,37757
2017-04-24T00:00:00Z,60,0,0,1,TRUE,44948
2017-04-25T00:00:00Z,54,0.91,0,2,TRUE,19555
2017-04-26T00:00:00Z,60,0.34,0,3,TRUE,35863
2017-04-27T00:00:00Z,70,0,0,4,TRUE,47704
2017-04-28T00:00:00Z,85,0,0,5,TRUE,54358
2017-04-29T00:00:00Z,85,0.06,0,6,FALSE,42801
2017-04-30T00:00:00Z,67,0,0,0,FALSE,33832
2017-05-01T00:00:00Z,74,0,0,1,TRUE,50056
2017-05-02T00:00:00Z,75,0,0,2,TRUE,55222
2017-05-03T00:00:00Z,65,0,0,3,TRUE,54000
2017-05-04T00:00:00Z,64,0,0,4,TRUE,52291
2017-05-05T00:00:00Z,59,3.02,0,5,TRUE,23026
2017-05-06T00:00:00Z,67,0.18,0,6,FALSE,38210
2017-05-07T00:00:00Z,56,0.01,0,0,FALSE,28596
2017-05-08T00:00:00Z,57,0,0,1,TRUE,47538
2017-05-09T00:00:00Z,63,0,0,2,TRUE,52790
2017-05-10T00:00:00Z,63,0,0,3,TRUE,54250
2017-05-11T00:00:00Z,62,0,0,4,TRUE,53018
2017-05-12T00:00:00Z,65,0,0,5,TRUE,51696
2017-05-13T00:00:00Z,53,1.61,0,6,FALSE,5395
2017-05-14T00:00:00Z,67,0.02,0,0,FALSE,32185
2017-05-15T00:00:00Z,68,0,0,1,TRUE,50851
2017-05-16T00:00:00Z,79,0,0,2,TRUE,59043
2017-05-17T00:00:00Z,90,0,0,3,TRUE,60558
2017-05-18T00:00:00Z,92,0,0,4,TRUE,58038
2017-05-19T00:00:00Z,91,0,0,5,TRUE,55980
2017-05-20T00:00:00Z,65,0.01,0,6,FALSE,38610
2017-05-21T00:00:00Z,69,0,0,0,FALSE,41810
2017-05-22T00:00:00Z,61,0.59,0,1,TRUE,23756
2017-05-23T00:00:00Z,69,0,0,2,TRUE,55586
2017-05-24T00:00:00Z,69,0.04,0,3,TRUE,55789
2017-05-25T00:00:00Z,59,0.58,0,4,TRUE,16914
2017-05-26T00:00:00Z,73,0.1,0,5,TRUE,47559
2017-05-27T00:00:00Z,71,0,0,6,FALSE,32788
2017-05-28T00:00:00Z,71,0,0,0,FALSE,31293
2017-05-29T00:00:00Z,61,0.13,0,1,TRUE,22179
2017-05-30T00:00:00Z,60,0.06,0,2,TRUE,46836
2017-05-31T00:00:00Z,75,0.03,0,3,TRUE,54582
2017-06-01T00:00:00Z,79,0,0,4,TRUE,61379
2017-06-02T00:00:00Z,76,0.01,0,5,TRUE,59980
2017-06-03T00:00:00Z,73,0.01,0,6,FALSE,44222
2017-06-04T00:00:00Z,70,0.09,0,0,FALSE,33256
2017-06-05T00:00:00Z,67,0.02,0,1,TRUE,51306
2017-06-06T00:00:00Z,58,0.06,0,2,TRUE,39351
2017-06-07T00:00:00Z,67,0,0,3,TRUE,59613
2017-06-08T00:00:00Z,69,0,0,4,TRUE,57391
2017-06-09T00:00:00Z,80,0,0,5,TRUE,59325
2017-06-10T00:00:00Z,85,0,0,6,FALSE,44858
2017-06-11T00:00:00Z,90,0,0,0,FALSE,40860
2017-06-12T00:00:00Z,93,0,0,1,TRUE,52836
2017-06-13T00:00:00Z,94,0,0,2,TRUE,56561
2017-06-14T00:00:00Z,84,0.29,0,3,TRUE,55813
2017-06-15T00:00:00Z,76,0,0,4,TRUE,59283
2017-06-16T00:00:00Z,68,0,0,5,TRUE,52083
2017-06-17T00:00:00Z,74,1.39,0,6,FALSE,29158
2017-06-18T00:00:00Z,85,0,0,0,FALSE,39398
2017-06-19T00:00:00Z,88,1.35,0,1,TRUE,35234
2017-06-20T00:00:00Z,83,0.03,0,2,TRUE,59902
2017-06-21T00:00:00Z,83,0,0,3,TRUE,62195
2017-06-22T00:00:00Z,83,0,0,4,TRUE,60774
2017-06-23T00:00:00Z,83,0.04,0,5,TRUE,50350
2017-06-24T00:00:00Z,84,1.29,0,6,FALSE,41007
2017-06-25T00:00:00Z,83,0,0,0,FALSE,42570
2017-06-26T00:00:00Z,79,0,0,1,TRUE,56312
2017-06-27T00:00:00Z,77,0.18,0,2,TRUE,59475
2017-06-28T00:00:00Z,78,0,0,3,TRUE,62315
2017-06-29T00:00:00Z,82,0,0,4,TRUE,59247
2017-06-30T00:00:00Z,88,0,0,5,TRUE,53108
2017-07-01T00:00:00Z,85,0.23,0,6,FALSE,28455
2017-07-02T00:00:00Z,87,0,0,0,FALSE,30322
2017-07-03T00:00:00Z,88,0.45,0,1,TRUE,38609
2017-07-04T00:00:00Z,85,0,0,2,TRUE,36467
2017-07-05T00:00:00Z,85,0,0,3,TRUE,53995
2017-07-06T00:00:00Z,77,0,0,4,TRUE,56677
2017-07-07T00:00:00Z,80,1.78,0,5,TRUE,40507
2017-07-08T00:00:00Z,84,0,0,6,FALSE,43649
2017-07-09T00:00:00Z,81,0,0,0,FALSE,45019
2017-07-10T00:00:00Z,84,0,0,1,TRUE,55836
2017-07-11T00:00:00Z,85,0,0,2,TRUE,57468
2017-07-12T00:00:00Z,88,0,0,3,TRUE,57732
2017-07-13T00:00:00Z,90,0,0,4,TRUE,52419
2017-07-14T00:00:00Z,73,0.35,0,5,TRUE,29991
2017-07-15T00:00:00Z,84,0,0,6,FALSE,44482
2017-07-16T00:00:00Z,87,0,0,0,FALSE,44510
2017-07-17T00:00:00Z,85,0,0,1,TRUE,57231
2017-07-18T00:00:00Z,88,0,0,2,TRUE,61066
2017-07-19T00:00:00Z,92,0,0,3,TRUE,58783
2017-07-20T00:00:00Z,94,0.01,0,4,TRUE,55049
2017-07-21T00:00:00Z,92,0,0,5,TRUE,54467
2017-07-22T00:00:00Z,92,0.57,0,6,FALSE,38228
2017-07-23T00:00:00Z,79,0.06,0,0,FALSE,37743
2017-07-24T00:00:00Z,73,0.74,0,1,TRUE,40802
2017-07-25T00:00:00Z,71,0,0,2,TRUE,60526
2017-07-26T00:00:00Z,77,0,0,3,TRUE,64336
2017-07-27T00:00:00Z,78,0,0,4,TRUE,60687
2017-07-28T00:00:00Z,85,0,0,5,TRUE,57274
2017-07-29T00:00:00Z,77,0,0,6,FALSE,41939
2017-07-30T00:00:00Z,82,0,0,0,FALSE,44940
2017-07-31T00:00:00Z,88,0,0,1,TRUE,57794
2017-08-01T00:00:00Z,92,0,0,2,TRUE,61365
2017-08-02T00:00:00Z,86,0.09,0,3,TRUE,52998
2017-08-03T00:00:00Z,87,0,0,4,TRUE,61046
2017-08-04T00:00:00Z,84,0.15,0,5,TRUE,50545
2017-08-05T00:00:00Z,78,0.3,0,6,FALSE,44861
2017-08-06T00:00:00Z,76,0,0,0,FALSE,43035
2017-08-07T00:00:00Z,71,0.76,0,1,TRUE,22465
2017-08-08T00:00:00Z,78,0,0,2,TRUE,59921
2017-08-09T00:00:00Z,85,0,0,3,TRUE,61878
